algorithm,min_support,min_confidence,min_lift,runtime_seconds,frequent_itemsets,rules,avg_lift,avg_confidence
apriori,0.001,0.05,1.2,1.4334,750,37,1.3997,0.1024
apriori,0.0015,0.05,1.2,0.7103,457,10,1.351,0.0762
apriori,0.002,0.05,1.2,0.5079,330,6,1.3071,0.0676
fpgrowth,0.001,0.05,1.2,13.7227,750,37,1.3997,0.1024
fpgrowth,0.0015,0.05,1.2,7.3621,457,10,1.351,0.0762
fpgrowth,0.002,0.05,1.2,4.6611,330,6,1.3071,0.0676
